School Name,City,State
FIU,Miami,FL
Florida Intl University,Miami,FL
Florida International Univ,Miami,FL
FL International University,Miami,FL
Broward Coll,Fort Lauderdale,FL
Broward College,Fort Lauderdale,FL
UCF,Orlando,FL
University of Central FL,Orlando,FL
Miami Dade,Miami,FL
Miami-Dade College,Miami,FL
UM,Miami,FL
Univ of Miami,Miami,FL
FAU,Boca Raton,FL
Florida Atlantic,Boca Raton,FL
Nova Southeastern,Davie,FL
NSU,Davie,FL
Barry Univ,Miami Shores,FL
,Miami,FL
Palm Beach State,Lake Worth,FL
PBSC,Lake Worth,FL
